text,intent
mau absen 11-14 februari 2020,absence
mau absen 11 - 14 februari 2020,absence
sick leave besok,absence
aku mau absence besok,absence
change working hours besok,absence
change working hour besok,absence
absen besok,absence
change working hours,absence
sick leave,absence
mau absen tanggal 10-11 januari 2012,absence
mau absen tanggal 10 - 11 januari 2012,absence
mau absen gan 11 januari 2012,absence
tidak hadir besok,absence
ijin besok,absence
izin besok,absence
mau absen gan,absence
saya mau tidak hadir,absence
tidak hadir,absence
ajukan ketidakhadiran,absence
saya mau mengajukan izin,absence
kerja dari rumah 27 desember 2019,absence
mau ijin ya,absence
izin,absence
ijin,absence
mau mengajukan ketidakhadiran,absence
mau absen dong,absence
aku tidak masuk kerja,absence
absen dong hari ini sampai besok,absence
eh ga jadi deh maunya absen,absence
mau absen hari ini sampai besok,absence
saya mau absence,absence
mau absence,absence
saya mau absen,absence
"ga jadi, absen aja deh",absence
mau absen tanggal 1 maret 2010 - 2 maret 2020,absence
tidak masuk kerja dong,absence
saya absen ya tanggal 10 januari 2018 - 15 januari 2018,absence
mau tidak masuk kerja,absence
mau absen dari tanggal 1 agustus 2018 - 2 agustus 2018,absence
ajukan absen,absence
mau absen tanggal 1,absence
aku mau absence,absence
mau absen tanggal 13,absence
mau absen,absence
"eh ga jadi deh, absen aja",absence
Aku mau absen,absence
Siapa saja yang butuh persetujuan saya?,approval
persetujuan,approval
cuti siapa yang perlu diapprove,approval
siapa yang cutinya belum diapprove,approval
tolak pengajuan subordinat,approval
mau nolak pengajuan cuti subordinate,approval
setujui pengajuan overtime subordinate,approval
aku mau setujui pengajuan cuti subordinate,approval
setujui pengajuan bawahan,approval
aku mau setujui pengajuan subordinate,approval
saya mau menyetujui approval,approval
saya mau menolak pengajuan subordinate,approval
tolak pengajuan subordinate,approval
setujui pengajuan subordinate,approval
approval absence dong woy,approval
approval cuti gw,approval
approval cuti saya,approval
mau approve,approval
mau tolak cuti,approval
mau reject cuti,approval
persetujuan pembatalan cuti,approval
tolak leave,approval
reject batal cuti,approval
setujui reimbursement,approval
list approval gw,approval
tampilin data yang harus aku setujui,approval
tolak cuti,approval
leave cancellation approval,approval
setujui,approval
mau setujui reimbursement,approval
mau setujui cuti,approval
approve,approval
reject pembatalan cuti,approval
reject leave,approval
daftar list approval saya,approval
cancel leave approval,approval
mau setujui leave,approval
tolak,approval
mau setujui absen,approval
reject absen,approval
tolak overtime,approval
mau approve reimbursement,approval
reject leave cancellation,approval
mau approve klaim reimburse,approval
reject,approval
reject overtime,approval
mau approve reimburse,approval
list approval,approval
leave approval,approval
absence approval,approval
mau tolak absen,approval
reject lembur,approval
